Org,L,W
Lend Lease Management Services 2014,1,38
Lend Lease Management Services 2014,2,29
Lend Lease Management Services 2014,3,39
Lend Lease Management Services 2014,4,49
Lend Lease Management Services 2014,5,68
Lend Lease Management Services 2014,6,54
Lend Lease Management Services 2014,7,36
Lend Lease Management Services 2014,8,100
Lend Lease Management Services 2014,9,33
Lend Lease Construction 2014,1,18
Lend Lease Construction 2014,2,16
Lend Lease Construction 2014,3,14
Lend Lease Construction 2014,4,10
Lend Lease Construction 2014,5,11
Lend Lease Construction 2014,6,6
Lend Lease Construction 2014,7,2
Lend Lease Construction 2014,8,6
Lend Lease Construction 2014,9,11
Aurizon Holdings 2014,1,0
Aurizon Holdings 2014,2,19
Aurizon Holdings 2014,3,22
Aurizon Holdings 2014,4,26
Aurizon Holdings 2014,5,11
Aurizon Holdings 2014,6,6
Aurizon Holdings 2014,7,8
Stockland Development 2014,1,0
Stockland Development 2014,2,37
Stockland Development 2014,3,33
Stockland Development 2014,4,46
Newcrest Mining 2014,1,13
Newcrest Mining 2014,2,7
Newcrest Mining 2014,3,20
Newcrest Mining 2014,4,8
Sydney Airport Corporation 2014,1,44
Sydney Airport Corporation 2014,2,33
Sydney Airport Corporation 2014,3,39
Sydney Airport Corporation 2014,4,18
Origin Energy 2014,1,13
Origin Energy 2014,2,29
Origin Energy 2014,3,34
Origin Energy 2014,4,30
Origin Energy 2014,5,35
Origin Energy 2014,6,14
QBE Insurance Group 2014,1,25
QBE Insurance Group 2014,2,13
QBE Insurance Group 2014,3,24
QBE Insurance Group 2014,4,29
Insurance Australia Group 2014,1,20
Insurance Australia Group 2014,2,35
Insurance Australia Group 2014,3,32
Insurance Australia Group 2014,4,29
AMP 2014,1,38
AMP 2014,2,37
AMP 2014,3,36
AMP 2014,4,43
AMP 2014,5,38
AMP 2014,6,43
AMP 2014,7,38
AMP 2014,8,44
Brambles 2014,1,0
Brambles 2014,2,22
Brambles 2014,3,24
Brambles 2014,4,20
Brambles 2014,5,26
Brambles 2014,6,6
Brambles 2014,7,7
Brambles 2014,8,0
Suncorp Group 2014,1,23
Suncorp Group 2014,2,39
Suncorp Group 2014,3,43
Suncorp Group 2014,4,40
Suncorp Group 2014,5,48
Suncorp Group 2014,6,50
Suncorp Group 2014,7,49
Macquarie Group 2014,1,29
Macquarie Group 2014,2,12
Macquarie Group 2014,3,22
Macquarie Group 2014,4,37
Westfield Group 2014,1,0
Westfield Group 2014,2,21
Westfield Group 2014,3,25
Westfield Group 2014,4,29
Westfield Group 2014,5,44
Westfield Group 2014,6,49
Westfield Group 2014,7,14
Westfield Group 2014,8,0
Rio Tinto 2014,1,33
Rio Tinto 2014,2,8
Rio Tinto 2014,3,13
Rio Tinto 2014,4,23
Wesfarmers Industrial and Safety Pty Ltd 2014,1,10
Wesfarmers Industrial and Safety Pty Ltd 2014,2,5
Wesfarmers Industrial and Safety Pty Ltd 2014,3,8
Wesfarmers Industrial and Safety Pty Ltd 2014,4,0
BHP Billiton Group Functions 2014,1,22
BHP Billiton Group Functions 2014,2,25
BHP Billiton Group Functions 2014,3,29
BHP Billiton Group Functions 2014,4,41
BHP Billiton Group Functions 2014,5,46
BHP Billiton WA Iron Ore 2014,1,11
BHP Billiton WA Iron Ore 2014,2,10
BHP Billiton WA Iron Ore 2014,3,15
BHP Billiton WA Iron Ore 2014,4,17
Woodside Energy 2014,1,13
Woodside Energy 2014,2,15
Woodside Energy 2014,3,19
Woodside Energy 2014,4,26
Woodside Energy 2014,5,13
Woodside Energy 2014,6,1
Woodside Energy 2014,7,0
CSL 2014,1,50
CSL 2014,2,29
CSL 2014,3,43
CSL 2014,4,54
Woolworths 2014,1,20
Woolworths 2014,2,35
Woolworths 2014,3,33
Woolworths 2014,4,37
Telstra Corporation 2014,1,14
Telstra Corporation 2014,2,26
Telstra Corporation 2014,3,24
Telstra Corporation 2014,4,25
National Australia Bank 2014,1,25
National Australia Bank 2014,2,34
National Australia Bank 2014,3,33
National Australia Bank 2014,4,32
National Australia Bank 2014,5,35
National Australia Bank 2014,6,34
Australia and New Zealand Banking Group 2014,1,31
Australia and New Zealand Banking Group 2014,2,43
Australia and New Zealand Banking Group 2014,3,41
Australia and New Zealand Banking Group 2014,4,36
Australia and New Zealand Banking Group 2014,5,40
Australia and New Zealand Banking Group 2014,6,42
Australia and New Zealand Banking Group 2014,7,36
Australia and New Zealand Banking Group 2014,8,29
Westpac Banking Corporation 2014,1,11
Westpac Banking Corporation 2014,2,31
Westpac Banking Corporation 2014,3,37
Westpac Banking Corporation 2014,4,38
Commonwealth Bank of Australia 2014,1,27
Commonwealth Bank of Australia 2014,2,31
Commonwealth Bank of Australia 2014,3,31
Commonwealth Bank of Australia 2014,4,33